Using seeds: [7270, 860, 5390, 5191, 5734]
n: 500, d: 50
Run 1/5 with seed 7270
Starting Run 1 with Single-loop AdaRHD-S...
Epoch 0: loss_u=-2774.2349, hg_norm=1.9084e+03, time=0.6495
Epoch 50: loss_u=-356.8289, hg_norm=8.8175e+01, time=1.1100
Epoch 100: loss_u=-237.7261, hg_norm=5.3160e+01, time=1.0754
Epoch 150: loss_u=-186.9756, hg_norm=3.9153e+01, time=0.5631
Epoch 200: loss_u=-158.0412, hg_norm=3.1424e+01, time=0.5583
Epoch 250: loss_u=-139.1153, hg_norm=2.6472e+01, time=1.0762
Epoch 300: loss_u=-125.6869, hg_norm=2.3007e+01, time=0.5504
Epoch 350: loss_u=-115.6271, hg_norm=2.0436e+01, time=0.5710
Epoch 400: loss_u=-107.7915, hg_norm=1.8449e+01, time=0.6242
Epoch 450: loss_u=-101.5078, hg_norm=1.6863e+01, time=0.6428
Epoch 500: loss_u=-96.3513, hg_norm=1.5566e+01, time=0.5660
Epoch 550: loss_u=-92.0403, hg_norm=1.4485e+01, time=0.6154
Epoch 600: loss_u=-88.3807, hg_norm=1.3570e+01, time=0.6037
Epoch 650: loss_u=-85.2339, hg_norm=1.2785e+01, time=0.6345
Epoch 700: loss_u=-82.4982, hg_norm=1.2103e+01, time=0.5319
Epoch 750: loss_u=-80.0973, hg_norm=1.1505e+01, time=0.6079
Epoch 800: loss_u=-77.9727, hg_norm=1.0977e+01, time=0.6205
Epoch 850: loss_u=-76.0787, hg_norm=1.0506e+01, time=0.6003
Epoch 900: loss_u=-74.3793, hg_norm=1.0085e+01, time=0.5871
Epoch 950: loss_u=-72.8455, hg_norm=9.7050e+00, time=0.5700
Epoch 1000: loss_u=-71.4539, hg_norm=9.3609e+00, time=0.5402
Run 2/5 with seed 860
Starting Run 2 with Single-loop AdaRHD-S...
Epoch 0: loss_u=-1938.8533, hg_norm=1.0605e+03, time=0.6272
Epoch 50: loss_u=-274.1281, hg_norm=6.2678e+01, time=0.6243
Epoch 100: loss_u=-184.3681, hg_norm=3.8136e+01, time=0.5790
Epoch 150: loss_u=-146.5194, hg_norm=2.8221e+01, time=0.5724
Epoch 200: loss_u=-125.1786, hg_norm=2.2731e+01, time=0.5751
Epoch 250: loss_u=-111.3604, hg_norm=1.9209e+01, time=0.6121
Epoch 300: loss_u=-101.6430, hg_norm=1.6744e+01, time=0.5575
Epoch 350: loss_u=-94.4205, hg_norm=1.4916e+01, time=0.5504
Epoch 400: loss_u=-88.8339, hg_norm=1.3503e+01, time=0.6320
Epoch 450: loss_u=-84.3797, hg_norm=1.2377e+01, time=0.5960
Epoch 500: loss_u=-80.7427, hg_norm=1.1458e+01, time=0.6024
Epoch 550: loss_u=-77.7150, hg_norm=1.0693e+01, time=0.5979
Epoch 600: loss_u=-75.1539, hg_norm=1.0046e+01, time=0.5793
Epoch 650: loss_u=-72.9581, hg_norm=9.4918e+00, time=0.5549
Epoch 700: loss_u=-71.0534, hg_norm=9.0116e+00, time=0.6329
Epoch 750: loss_u=-69.3843, hg_norm=8.5916e+00, time=0.5915
Epoch 800: loss_u=-67.9087, hg_norm=8.2213e+00, time=0.6576
Epoch 850: loss_u=-66.5938, hg_norm=7.8924e+00, time=0.5997
Epoch 900: loss_u=-65.4137, hg_norm=7.5986e+00, time=0.6048
Epoch 950: loss_u=-64.3479, hg_norm=7.3345e+00, time=0.5570
Epoch 1000: loss_u=-63.3797, hg_norm=7.0960e+00, time=0.6383
Run 3/5 with seed 5390
Starting Run 3 with Single-loop AdaRHD-S...
Epoch 0: loss_u=-2284.9399, hg_norm=1.4581e+03, time=0.5651
Epoch 50: loss_u=-308.8361, hg_norm=7.2352e+01, time=0.6281
Epoch 100: loss_u=-208.5374, hg_norm=4.3488e+01, time=0.5905
Epoch 150: loss_u=-165.7892, hg_norm=3.1941e+01, time=0.5462
Epoch 200: loss_u=-141.4610, hg_norm=2.5583e+01, time=0.5828
Epoch 250: loss_u=-125.5857, hg_norm=2.1518e+01, time=0.5630
Epoch 300: loss_u=-114.3483, hg_norm=1.8681e+01, time=0.5904
Epoch 350: loss_u=-105.9502, hg_norm=1.6582e+01, time=0.6526
Epoch 400: loss_u=-99.4236, hg_norm=1.4962e+01, time=0.6086
Epoch 450: loss_u=-94.1988, hg_norm=1.3673e+01, time=0.6131
Epoch 500: loss_u=-89.9183, hg_norm=1.2622e+01, time=0.5871
Epoch 550: loss_u=-86.3448, hg_norm=1.1747e+01, time=0.4952
Epoch 600: loss_u=-83.3151, hg_norm=1.1008e+01, time=0.6212
Epoch 650: loss_u=-80.7122, hg_norm=1.0375e+01, time=0.6414
Epoch 700: loss_u=-78.4512, hg_norm=9.8267e+00, time=0.5300
Epoch 750: loss_u=-76.4679, hg_norm=9.3471e+00, time=0.6093
Epoch 800: loss_u=-74.7135, hg_norm=8.9242e+00, time=0.6040
Epoch 850: loss_u=-73.1497, hg_norm=8.5485e+00, time=0.5846
Epoch 900: loss_u=-71.7464, hg_norm=8.2125e+00, time=0.5930
Epoch 950: loss_u=-70.4795, hg_norm=7.9104e+00, time=0.5401
Epoch 1000: loss_u=-69.3294, hg_norm=7.6373e+00, time=0.6019
Run 4/5 with seed 5191
Starting Run 4 with Single-loop AdaRHD-S...
Epoch 0: loss_u=-4383.7295, hg_norm=3.2136e+03, time=0.5831
Epoch 50: loss_u=-540.1161, hg_norm=1.4608e+02, time=0.6407
Epoch 100: loss_u=-357.1118, hg_norm=8.7691e+01, time=0.6251
Epoch 150: loss_u=-278.0106, hg_norm=6.4329e+01, time=0.6074
Epoch 200: loss_u=-232.3650, hg_norm=5.1425e+01, time=0.5844
Epoch 250: loss_u=-202.2210, hg_norm=4.3145e+01, time=0.6397
Epoch 300: loss_u=-180.6662, hg_norm=3.7342e+01, time=0.5850
Epoch 350: loss_u=-164.4156, hg_norm=3.3031e+01, time=0.6111
Epoch 400: loss_u=-151.6904, hg_norm=2.9692e+01, time=0.5615
Epoch 450: loss_u=-141.4377, hg_norm=2.7025e+01, time=0.6279
Epoch 500: loss_u=-132.9911, hg_norm=2.4842e+01, time=0.5413
Epoch 550: loss_u=-125.9056, hg_norm=2.3020e+01, time=0.6089
Epoch 600: loss_u=-119.8733, hg_norm=2.1475e+01, time=0.5804
Epoch 650: loss_u=-114.6736, hg_norm=2.0147e+01, time=0.5266
Epoch 700: loss_u=-110.1440, hg_norm=1.8994e+01, time=0.6700
Epoch 750: loss_u=-106.1617, hg_norm=1.7982e+01, time=0.5885
Epoch 800: loss_u=-102.6327, hg_norm=1.7087e+01, time=0.6379
Epoch 850: loss_u=-99.4835, hg_norm=1.6289e+01, time=0.5890
Epoch 900: loss_u=-96.6557, hg_norm=1.5573e+01, time=0.6860
Epoch 950: loss_u=-94.1024, hg_norm=1.4927e+01, time=0.6362
Epoch 1000: loss_u=-91.7853, hg_norm=1.4341e+01, time=0.5548
Run 5/5 with seed 5734
Starting Run 5 with Single-loop AdaRHD-S...
Epoch 0: loss_u=-4011.2061, hg_norm=3.2999e+03, time=0.5423
Epoch 50: loss_u=-496.2920, hg_norm=1.3583e+02, time=0.6396
Epoch 100: loss_u=-330.5034, hg_norm=8.2489e+01, time=0.5799
Epoch 150: loss_u=-258.6165, hg_norm=6.0892e+01, time=0.6421
Epoch 200: loss_u=-217.0832, hg_norm=4.8877e+01, time=0.5396
Epoch 250: loss_u=-189.6207, hg_norm=4.1126e+01, time=0.6659
Epoch 300: loss_u=-169.9597, hg_norm=3.5674e+01, time=0.5818
Epoch 350: loss_u=-155.1195, hg_norm=3.1611e+01, time=0.6262
Epoch 400: loss_u=-143.4842, hg_norm=2.8457e+01, time=0.6193
Epoch 450: loss_u=-134.0973, hg_norm=2.5932e+01, time=0.5287
Epoch 500: loss_u=-126.3533, hg_norm=2.3863e+01, time=0.5761
Epoch 550: loss_u=-119.8491, hg_norm=2.2133e+01, time=0.5679
Epoch 600: loss_u=-114.3050, hg_norm=2.0664e+01, time=0.5042
Epoch 650: loss_u=-109.5191, hg_norm=1.9401e+01, time=0.5449
Epoch 700: loss_u=-105.3448, hg_norm=1.8302e+01, time=0.5846
Epoch 750: loss_u=-101.6703, hg_norm=1.7337e+01, time=0.5347
Epoch 800: loss_u=-98.4096, hg_norm=1.6483e+01, time=0.6073
Epoch 850: loss_u=-95.4964, hg_norm=1.5720e+01, time=0.5447
Epoch 900: loss_u=-92.8778, hg_norm=1.5036e+01, time=0.5380
Epoch 950: loss_u=-90.5109, hg_norm=1.4418e+01, time=0.5963
Epoch 1000: loss_u=-88.3610, hg_norm=1.3857e+01, time=0.5429
Experiment Completed. File saved to ./results/robust_mle_n500_d50_AdaRHD_S_lr0.1.pickle
